,screen_name,name,user_verification,followers_count,friends_count,listed_count,retweet_count,favorite_count,retweeted,entities,favourites_count,location,created_at,text,clean_text,sentiment_polarity,sentiment_subjectivity,sentiment_polarity_color,latitude,longitude
0,redsarah99,redsarah99 #BlackLivesMatter #IStandWithCorbyn,False,22002,13538,99,0,0,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/C2yhwlxrZw', 'expanded_url': 'https://twitter.com/i/web/status/1355888938272092161', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",122436,,2021-01-31 14:41:28,"""Further, in the early days, Johnson who has a habit of acting at the last minute missed vital Cobra briefings on t… https://t.co/C2yhwlxrZw","""Further, in the early days, Johnson who has a habit of acting at the last minute missed vital Cobra briefings on t… ",0.04,0.2533333333333333,green,37.5166568,127.05251748696939
1,mushirjavaid5,MJ,False,106,216,1,275,0,False,"{'hashtags': [{'text': 'COVAX', 'indices': [93, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CTurnerFCDO', 'name': 'Christian Turner', 'id': 463248390, 'id_str': '463248390', 'indices': [3, 15]}, {'screen_name': 'UniofOxford', 'name': 'University of Oxford', 'id': 48289662, 'id_str': '48289662', 'indices': [48, 60]}, {'screen_name': 'AstraZeneca', 'name': 'AstraZeneca', 'id': 62465691, 'id_str': '62465691', 'indices': [61, 73]}], 'urls': []}",7521,Earth,2021-01-31 14:41:21,RT @CTurnerFCDO: Great news 🇵🇰 will receive 17m @UniofOxford @AstraZeneca vaccine doses from #COVAX. Proud that 🇬🇧‘s £548m contribution to…, Great news 🇵🇰 will receive 17m   vaccine doses from COVAX. Proud that 🇬🇧‘s £548m contribution to…,0.8,0.875,green,37.5166568,127.05251748696939
2,lscopazzi,Linda,False,128,346,1,1,0,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TrialsiteN', 'name': 'TrialSite News', 'id': 1002361483169226752, 'id_str': '1002361483169226752', 'indices': [3, 14]}], 'urls': [{'url': 'https://t.co/3KaOcnddTh', 'expanded_url': 'https://trialsitenews.com/beyond-the-roundup-first-eu-nation-to-approve-ivermectin-for-covid-19/', 'display_url': 'trialsitenews.com/beyond-the-rou…', 'indices': [116, 139]}]}",7169,Canada,2021-01-31 14:41:14,"RT @TrialsiteN: IN CASE YOU MISSED IT!!!!

Beyond The Roundup | First EU Nation To Approve Ivermectin For Covid-19

https://t.co/3KaOcnddTh…"," IN CASE YOU MISSED IT!!!!

Beyond The Roundup | First EU Nation To Approve Ivermectin For Covid-19

",0.25,0.3333333333333333,green,37.5166568,127.05251748696939
3,moregrass511,Left the EU Loyal #DefundtheBBC,False,336,191,7,169,0,False,"{'hashtags': [{'text': 'covid', 'indices': [57, 63]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AgentP22', 'name': 'Agent P 🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f🇬🇧', 'id': 835608547, 'id_str': '835608547', 'indices': [3, 12]}], 'urls': []}",23911,,2021-01-31 14:41:13,"RT @AgentP22: Ian Blackford here bemoaning the fact that #covid deaths have been bad for his funeral business.

What a horrible thing to sa…"," Ian Blackford here bemoaning the fact that covid deaths have been bad for his funeral business.

What a horrible thing to sa…",-0.8499999999999999,0.8333333333333333,red,37.5166568,127.05251748696939
4,Kurt_Derr,Kurt Derr,False,333,2045,12,0,0,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'senrobportman', 'name': 'Rob Portman', 'id': 18915145, 'id_str': '18915145', 'indices': [38, 52]}], 'urls': [{'url': 'https://t.co/6Xtt16vfUM', 'expanded_url': 'https://twitter.com/i/web/status/1355888868118192131', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",26250,On Top of the Pocono Mountains,2021-01-31 14:41:12,"The national debt was no concern when @senrobportman voted for a tax cut for the rich. But, when Americans are stru… https://t.co/6Xtt16vfUM","The national debt was no concern when  voted for a tax cut for the rich. But, when Americans are stru… ",0.375,0.75,green,37.5166568,127.05251748696939
5,LA_beccckkky,Becky O,False,261,1026,29,0,0,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dg4m05GYDm', 'expanded_url': 'https://twitter.com/i/web/status/1355888806881353731', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",13607,"Austin, TX",2021-01-31 14:40:57,Good read during this pandemic. Spending a lot of time alone pushes ppl into bizarre habits but it also helps us be… https://t.co/dg4m05GYDm,Good read during this pandemic. Spending a lot of time alone pushes ppl into bizarre habits but it also helps us be… ,0.55,0.6000000000000001,green,37.5166568,127.05251748696939
6,jenhegna,Jen Hegna,False,6765,5991,538,1043,0,False,"{'hashtags': [{'text': 'covid', 'indices': [62, 68]}, {'text': 'WorkFromHome', 'indices': [69, 82]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DrScottHadland', 'name': 'Scott Hadland', 'id': 454086883, 'id_str': '454086883', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1355122222491381760, 'id_str': '1355122222491381760', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/Es5ce0rWMAAjp96.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Es5ce0rWMAAjp96.jpg', 'url': 'https://t.co/mTX34H5aYt', 'display_url': 'pic.twitter.com/mTX34H5aYt', 'expanded_url': 'https://twitter.com/DrScottHadland/status/1355122226845143040/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1756, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1029, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 583, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1355122226845143040, 'source_status_id_str': '1355122226845143040', 'source_user_id': 454086883, 'source_user_id_str': '454086883'}]}",13008,"Byron, MN",2021-01-31 14:40:51,RT @DrScottHadland: Giving an academic talk in 8 minutes 😳🤪❤️ #covid #WorkFromHome https://t.co/mTX34H5aYt, Giving an academic talk in 8 minutes 😳🤪❤️ covid WorkFromHome ,0.0,0.0,green,37.5166568,127.05251748696939
7,MarkedByCovid,Marked By Covid,False,23954,619,112,0,1,False,"{'hashtags': [{'text': 'COVID', 'indices': [91, 97]}, {'text': 'MarkedByCOVID', 'indices': [101, 115]}], 'symbols': [], 'user_mentions': [{'screen_name': 'itsmefi', 'name': 'Fiana Tulip', 'id': 9129132, 'id_str': '9129132', 'indices': [20, 28]}], 'urls': [{'url': 'https://t.co/BF1oljwZ6n', 'expanded_url': 'https://twitter.com/i/web/status/1355888773767196678', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2283,"Phoenix, AZ",2021-01-31 14:40:49,"Please don't forget @itsmefi's wonderful mom! She was also a respiratory therapist lost to #COVID. 

#MarkedByCOVID… https://t.co/BF1oljwZ6n","Please don't forget  wonderful mom! She was also a respiratory therapist lost to COVID. 

MarkedByCOVID… ",1.0,1.0,green,37.5166568,127.05251748696939
8,ClashingMarried,Married With Clashing Opinions,False,0,10,0,0,0,False,"{'hashtags': [{'text': 'Covid', 'indices': [50, 56]}, {'text': 'COVID19AB', 'indices': [57, 67]}, {'text': 'coronavirus', 'indices': [68, 80]}, {'text': 'CoronaVaccine', 'indices': [81, 95]}, {'text': 'Debate', 'indices': [96, 103]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Gzsy9O4u5F', 'expanded_url': 'https://youtu.be/ID4YIxiX5hk', 'display_url': 'youtu.be/ID4YIxiX5hk', 'indices': [0, 23]}, {'url': 'https://t.co/Ioz4TH2yFp', 'expanded_url': 'https://twitter.com/i/web/status/1355888746886017024', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",29,,2021-01-31 14:40:43,"https://t.co/Gzsy9O4u5F
Join the conversation !!

#Covid #COVID19AB #coronavirus #CoronaVaccine #Debate… https://t.co/Ioz4TH2yFp","
Join the conversation !!

Covid COVID19AB coronavirus CoronaVaccine Debate… ",0.0,0.0,green,37.5166568,127.05251748696939
9,rafenjulie1,Jules RFG,False,1061,2179,0,19,0,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MariettaDaviz', 'name': '∼Marietta', 'id': 276452562, 'id_str': '276452562', 'indices': [3, 17]}], 'urls': []}",37603,"New York, NY",2021-01-31 14:40:42,"RT @MariettaDaviz: U.S. intelligence officials say the Chinese government is collecting Americans' DNA.
Biodata, has become a precious comm…"," U.S. intelligence officials say the Chinese government is collecting Americans' DNA.
Biodata, has become a precious comm…",0.25,0.5,green,37.5166568,127.05251748696939
